Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100n","C_0805_2012Metric",175.800000,-86.000000,270.000000,top
"C2","4.7u","C_0805_2012Metric",173.800000,-86.000000,270.000000,top
"C3","100n","C_0805_2012Metric",170.700000,-60.500000,270.000000,top
"C4","100n","C_0805_2012Metric",149.500000,-86.500000,180.000000,top
"C5","100n","C_0805_2012Metric",149.500000,-84.500000,180.000000,top
"C6","1u","C_0805_2012Metric",149.500000,-82.500000,0.000000,top
"C7","100n","C_0805_2012Metric",149.500000,-80.500000,0.000000,top
"C8","100n","C_0805_2012Metric",149.500000,-78.500000,180.000000,top
"C9","4.7u","C_0805_2012Metric",149.500000,-76.500000,180.000000,top
"Q1","S8050_J3Y","SOT-23",149.600000,-67.600000,270.000000,top
"Q2","PMBT2222AYS","SOT-363_SC-70-6",177.800000,-67.000000,180.000000,top
"R1","10k","R_Array_Convex_4x0603",177.800000,-72.200000,90.000000,top
"R2","10k","R_Array_Convex_4x0603",174.200000,-72.200000,90.000000,top
"R3","10","R_0805_2012Metric",162.600000,-60.500000,270.000000,top
"R4","10k","R_0805_2012Metric",164.600000,-60.500000,90.000000,top
"R5","1k","R_0805_2012Metric",166.600000,-60.500000,90.000000,top
"U1","ESP-12E","ESP-12E",162.500000,-75.900000,270.000000,top
"U2","CP2102-GMR_NRND","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm",176.300000,-79.500000,270.000000,top
"U3","BL8565","SOT-89-3",149.600000,-72.300000,90.000000,top
"J1","USB_B_Micro","MicroUSB_through_hole_fixing",153.700000,-57.1000,90.000000,top
