Comment,Designator,Footprint,LCSC
"1u","C6","Capacitor_SMD:C_0805_2012Metric","C28323"
"100n","C1,C3,C4,C5,C7,C8","Capacitor_SMD:C_0805_2012Metric","C49678"
"4.7u","C2,C9","Capacitor_SMD:C_0805_2012Metric","C1779"
"IPSDisplay_240x240","D1","barn53-kicad:IPSDisplay_240x240_FPC_80deg",""
"USB_B_Micro","J1","barn53-kicad:MicroUSB_through_hole_fixing","C404969"
"S8050_J3Y","Q1","Package_TO_SOT_SMD:SOT-23","C2146"
"BC847BS,115","Q2","Package_TO_SOT_SMD:SOT-363_SC-70-6","C8653"
"10k","R1,R2","Resistor_SMD:R_Array_Convex_4x0603","C29718"
"10","R3","Resistor_SMD:R_0805_2012Metric","C17415"
"10k","R4","Resistor_SMD:R_0805_2012Metric","C17414"
"1k","R5","Resistor_SMD:R_0805_2012Metric","C17513"
"ESP-12E","U1","barn53-kicad:ESP-12E","C82891"
"CP2102-GMR_NRND","U2","Package_DFN_QFN:QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm","C6568"
"BL8565","U3","Package_TO_SOT_SMD:SOT-89-3","C51826"
